127.0.0.1 - - [19/May/2019:16:58:24 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/May/2019:17:22:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [19/May/2019:17:22:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2019:17:22:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2019:17:22:01 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [19/May/2019:17:22:01 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2019:17:22:01 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2019:17:22:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/May/2019:17:22:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/May/2019:17:22:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/May/2019:17:23:13 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [19/May/2019:17:23:19 +0900] "GET /BBS/join.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [19/May/2019:17:23:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [19/May/2019:17:23:28 +0900] "GET /BBS/join.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [19/May/2019:17:28:41 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [19/May/2019:17:28:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [19/May/2019:17:28:41 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2019:17:28:41 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2019:17:28:50 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/May/2019:17:28:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/May/2019:17:28:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [19/May/2019:17:28:57 +0900] "POST /BBS/LoginAction.jsp HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [19/May/2019:17:29:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [19/May/2019:17:29:39 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [19/May/2019:17:29:40 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/May/2019:17:29:40 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
